"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Upload photo from gallery to memory book","1","0","","0"
"0","","0","Upload a good moment to memory book","1","0","","0"
"0","","0","Record audio journal entry","1","0","","0"
